store_id,store_name,city,state,country_code,store_type,opening_date,active_flag
STR0001,Store 0001,Nagpur,Telangana,IN,Retail,2016-03-03,Y
STR0002,Store 0002,Sambalpur,Haryana,US,Retail,2012-04-19,Y
STR0003,Store 0003,Kota,Sikkim,IN,Flagship,2019-06-19,Y
STR0004,Store 0004,Gudivada,Maharashtra,IN,Retail,2014-11-27,Y
STR0005,Store 0005,Ludhiana,Assam,SG,Flagship,2010-08-06,Y
STR0006,Store 0006,Muzaffarpur,Mizoram,US,Flagship,2024-07-29,Y
STR0007,Store 0007,Kishanganj,Gujarat,DE,Retail,2020-01-28,N
STR0008,Store 0008,Muzaffarnagar,Manipur,GB,Retail,2013-07-31,Y
STR0009,Store 0009,Chennai,Tripura,GB,Outlet,2013-06-27,Y
STR0010,Store 0010,Bhusawal,Karnataka,GB,Retail,2012-01-30,Y
STR0011,Store 0011,Bhatpara,Gujarat,IN,Outlet,2017-09-18,N
STR0012,Store 0012,Kota,Assam,GB,Retail,2020-04-21,Y
STR0013,Store 0013,Jalandhar,Kerala,IN,Outlet,2011-10-08,Y
STR0014,Store 0014,Mahbubnagar,Himachal Pradesh,GB,Flagship,2023-11-15,Y
STR0015,Store 0015,Jaunpur,Nagaland,SG,Retail,2011-07-24,Y
STR0016,Store 0016,Burhanpur,Assam,US,Outlet,2011-10-16,Y
STR0017,Store 0017,Tadipatri,West Bengal,IN,Outlet,2016-03-27,Y
STR0018,Store 0018,Gangtok,Gujarat,GB,Retail,2018-04-21,Y
STR0019,Store 0019,Ranchi,Sikkim,US,Flagship,2015-12-28,Y
STR0020,Store 0020,Ramagundam,Assam,SG,Flagship,2013-11-02,Y
STR0021,Store 0021,Salem,Madhya Pradesh,US,Retail,2020-05-14,Y
STR0022,Store 0022,Malda,Rajasthan,GB,Flagship,2022-06-29,Y
STR0023,Store 0023,Ujjain,Kerala,GB,Retail,2015-02-20,Y
STR0024,Store 0024,Bhagalpur,Sikkim,GB,Outlet,2016-01-03,Y
STR0025,Store 0025,Madurai,Punjab,US,Flagship,2017-01-21,Y
STR0026,Store 0026,Deoghar,Telangana,DE,Outlet,2024-06-02,Y
STR0027,Store 0027,Ujjain,Manipur,US,Outlet,2013-02-17,Y
STR0028,Store 0028,Gopalpur,Rajasthan,SG,Flagship,2015-11-23,N
STR0029,Store 0029,Anantapur,Uttarakhand,DE,Flagship,2018-12-16,Y
